dimension,r,num_layers,mpnn_idx,num_nodes,proportions
64.0,0.5,1.0,0.0,10.0,0.96875
64.0,0.5,1.0,1.0,10.0,0.0
64.0,0.5,1.0,2.0,10.0,0.34375
64.0,0.5,1.0,3.0,10.0,0.96875
64.0,0.5,1.0,4.0,10.0,0.0
64.0,0.5,1.0,5.0,10.0,0.0
64.0,0.5,1.0,6.0,10.0,0.0
64.0,0.5,1.0,7.0,10.0,0.0
64.0,0.5,1.0,8.0,10.0,0.0
64.0,0.5,1.0,9.0,10.0,0.0
64.0,0.5,2.0,0.0,10.0,0.0
64.0,0.5,2.0,1.0,10.0,0.0
64.0,0.5,2.0,2.0,10.0,1.0
64.0,0.5,2.0,3.0,10.0,1.0
64.0,0.5,2.0,4.0,10.0,0.0
64.0,0.5,2.0,5.0,10.0,0.96875
64.0,0.5,2.0,6.0,10.0,0.25
64.0,0.5,2.0,7.0,10.0,1.0
64.0,0.5,2.0,8.0,10.0,1.0
64.0,0.5,2.0,9.0,10.0,1.0
64.0,0.5,3.0,0.0,10.0,0.0
64.0,0.5,3.0,1.0,10.0,1.0
64.0,0.5,3.0,2.0,10.0,0.0
64.0,0.5,3.0,3.0,10.0,1.0
64.0,0.5,3.0,4.0,10.0,0.0
64.0,0.5,3.0,5.0,10.0,0.03125
64.0,0.5,3.0,6.0,10.0,0.0
64.0,0.5,3.0,7.0,10.0,0.0
64.0,0.5,3.0,8.0,10.0,1.0
64.0,0.5,3.0,9.0,10.0,0.0
64.0,0.5,1.0,0.0,50.0,1.0
64.0,0.5,1.0,1.0,50.0,0.0
64.0,0.5,1.0,2.0,50.0,0.125
64.0,0.5,1.0,3.0,50.0,1.0
64.0,0.5,1.0,4.0,50.0,0.0
64.0,0.5,1.0,5.0,50.0,0.0
64.0,0.5,1.0,6.0,50.0,0.0
64.0,0.5,1.0,7.0,50.0,0.0
64.0,0.5,1.0,8.0,50.0,0.0
64.0,0.5,1.0,9.0,50.0,0.0
64.0,0.5,2.0,0.0,50.0,0.0
64.0,0.5,2.0,1.0,50.0,0.0
64.0,0.5,2.0,2.0,50.0,1.0
64.0,0.5,2.0,3.0,50.0,1.0
64.0,0.5,2.0,4.0,50.0,0.0
64.0,0.5,2.0,5.0,50.0,1.0
64.0,0.5,2.0,6.0,50.0,0.0625
64.0,0.5,2.0,7.0,50.0,1.0
64.0,0.5,2.0,8.0,50.0,1.0
64.0,0.5,2.0,9.0,50.0,1.0
64.0,0.5,3.0,0.0,50.0,0.0
64.0,0.5,3.0,1.0,50.0,1.0
64.0,0.5,3.0,2.0,50.0,0.0
64.0,0.5,3.0,3.0,50.0,1.0
64.0,0.5,3.0,4.0,50.0,0.0
64.0,0.5,3.0,5.0,50.0,0.0
64.0,0.5,3.0,6.0,50.0,0.0
64.0,0.5,3.0,7.0,50.0,0.0
64.0,0.5,3.0,8.0,50.0,1.0
64.0,0.5,3.0,9.0,50.0,0.0
64.0,0.5,1.0,0.0,100.0,1.0
64.0,0.5,1.0,1.0,100.0,0.0
64.0,0.5,1.0,2.0,100.0,0.15625
64.0,0.5,1.0,3.0,100.0,1.0
64.0,0.5,1.0,4.0,100.0,0.0
64.0,0.5,1.0,5.0,100.0,0.0
64.0,0.5,1.0,6.0,100.0,0.0
64.0,0.5,1.0,7.0,100.0,0.0
64.0,0.5,1.0,8.0,100.0,0.0
64.0,0.5,1.0,9.0,100.0,0.0
64.0,0.5,2.0,0.0,100.0,0.0
64.0,0.5,2.0,1.0,100.0,0.0
64.0,0.5,2.0,2.0,100.0,1.0
64.0,0.5,2.0,3.0,100.0,1.0
64.0,0.5,2.0,4.0,100.0,0.0
64.0,0.5,2.0,5.0,100.0,1.0
64.0,0.5,2.0,6.0,100.0,0.0
64.0,0.5,2.0,7.0,100.0,1.0
64.0,0.5,2.0,8.0,100.0,1.0
64.0,0.5,2.0,9.0,100.0,1.0
64.0,0.5,3.0,0.0,100.0,0.0
64.0,0.5,3.0,1.0,100.0,1.0
64.0,0.5,3.0,2.0,100.0,0.0
64.0,0.5,3.0,3.0,100.0,1.0
64.0,0.5,3.0,4.0,100.0,0.0
64.0,0.5,3.0,5.0,100.0,0.0
64.0,0.5,3.0,6.0,100.0,0.0
64.0,0.5,3.0,7.0,100.0,0.0
64.0,0.5,3.0,8.0,100.0,1.0
64.0,0.5,3.0,9.0,100.0,0.0
64.0,0.5,1.0,0.0,500.0,1.0
64.0,0.5,1.0,1.0,500.0,0.0
64.0,0.5,1.0,2.0,500.0,0.0
64.0,0.5,1.0,3.0,500.0,1.0
64.0,0.5,1.0,4.0,500.0,0.0
64.0,0.5,1.0,5.0,500.0,0.0
64.0,0.5,1.0,6.0,500.0,0.0
64.0,0.5,1.0,7.0,500.0,0.0
64.0,0.5,1.0,8.0,500.0,0.0
64.0,0.5,1.0,9.0,500.0,0.0
64.0,0.5,2.0,0.0,500.0,0.0
64.0,0.5,2.0,1.0,500.0,0.0
64.0,0.5,2.0,2.0,500.0,1.0
64.0,0.5,2.0,3.0,500.0,1.0
64.0,0.5,2.0,4.0,500.0,0.0
64.0,0.5,2.0,5.0,500.0,1.0
64.0,0.5,2.0,6.0,500.0,0.0
64.0,0.5,2.0,7.0,500.0,1.0
64.0,0.5,2.0,8.0,500.0,1.0
64.0,0.5,2.0,9.0,500.0,1.0
64.0,0.5,3.0,0.0,500.0,0.0
64.0,0.5,3.0,1.0,500.0,1.0
64.0,0.5,3.0,2.0,500.0,0.0
64.0,0.5,3.0,3.0,500.0,1.0
64.0,0.5,3.0,4.0,500.0,0.0
64.0,0.5,3.0,5.0,500.0,0.0
64.0,0.5,3.0,6.0,500.0,0.0
64.0,0.5,3.0,7.0,500.0,0.0
64.0,0.5,3.0,8.0,500.0,1.0
64.0,0.5,3.0,9.0,500.0,0.0
64.0,0.5,1.0,0.0,1000.0,1.0
64.0,0.5,1.0,1.0,1000.0,0.0
64.0,0.5,1.0,2.0,1000.0,0.0
64.0,0.5,1.0,3.0,1000.0,1.0
64.0,0.5,1.0,4.0,1000.0,0.0
64.0,0.5,1.0,5.0,1000.0,0.0
64.0,0.5,1.0,6.0,1000.0,0.0
64.0,0.5,1.0,7.0,1000.0,0.0
64.0,0.5,1.0,8.0,1000.0,0.0
64.0,0.5,1.0,9.0,1000.0,0.0
64.0,0.5,2.0,0.0,1000.0,0.0
64.0,0.5,2.0,1.0,1000.0,0.0
64.0,0.5,2.0,2.0,1000.0,1.0
64.0,0.5,2.0,3.0,1000.0,1.0
64.0,0.5,2.0,4.0,1000.0,0.0
64.0,0.5,2.0,5.0,1000.0,1.0
64.0,0.5,2.0,6.0,1000.0,0.0
64.0,0.5,2.0,7.0,1000.0,1.0
64.0,0.5,2.0,8.0,1000.0,1.0
64.0,0.5,2.0,9.0,1000.0,1.0
64.0,0.5,3.0,0.0,1000.0,0.0
64.0,0.5,3.0,1.0,1000.0,1.0
64.0,0.5,3.0,2.0,1000.0,0.0
64.0,0.5,3.0,3.0,1000.0,1.0
64.0,0.5,3.0,4.0,1000.0,0.0
64.0,0.5,3.0,5.0,1000.0,0.0
64.0,0.5,3.0,6.0,1000.0,0.0
64.0,0.5,3.0,7.0,1000.0,0.0
64.0,0.5,3.0,8.0,1000.0,1.0
64.0,0.5,3.0,9.0,1000.0,0.0
64.0,0.5,1.0,0.0,2000.0,1.0
64.0,0.5,1.0,1.0,2000.0,0.0
64.0,0.5,1.0,2.0,2000.0,0.0
64.0,0.5,1.0,3.0,2000.0,1.0
64.0,0.5,1.0,4.0,2000.0,0.0
64.0,0.5,1.0,5.0,2000.0,0.0
64.0,0.5,1.0,6.0,2000.0,0.0
64.0,0.5,1.0,7.0,2000.0,0.0
64.0,0.5,1.0,8.0,2000.0,0.0
64.0,0.5,1.0,9.0,2000.0,0.0
64.0,0.5,2.0,0.0,2000.0,0.0
64.0,0.5,2.0,1.0,2000.0,0.0
64.0,0.5,2.0,2.0,2000.0,1.0
64.0,0.5,2.0,3.0,2000.0,1.0
64.0,0.5,2.0,4.0,2000.0,0.0
64.0,0.5,2.0,5.0,2000.0,1.0
64.0,0.5,2.0,6.0,2000.0,0.0
64.0,0.5,2.0,7.0,2000.0,1.0
64.0,0.5,2.0,8.0,2000.0,1.0
64.0,0.5,2.0,9.0,2000.0,1.0
64.0,0.5,3.0,0.0,2000.0,0.0
64.0,0.5,3.0,1.0,2000.0,1.0
64.0,0.5,3.0,2.0,2000.0,0.0
64.0,0.5,3.0,3.0,2000.0,1.0
64.0,0.5,3.0,4.0,2000.0,0.0
64.0,0.5,3.0,5.0,2000.0,0.0
64.0,0.5,3.0,6.0,2000.0,0.0
64.0,0.5,3.0,7.0,2000.0,0.0
64.0,0.5,3.0,8.0,2000.0,1.0
64.0,0.5,3.0,9.0,2000.0,0.0
